proj_group	sample_target
enwiki	900
arwiki	675
zhwiki	450
frwiki	450
eswiki	1125
ruwiki	450
dewiki	450
ptwiki	1125
nlwiki	450
itwiki	450
jawiki	450
meaf_wps	1650
cee_wps	1050
asia_wps	450
weur_wps	450
commons	1800
wikidata	1800
other	3600
sasia_wps	450
malay_wps	150
viwiki	150
kowiki	150
